REGION,K-12 SCHOOLS,DIVISION,DATE ANNOUNCED,Earliest Exposure,Earliest + 14 days,Lastest + 14 days,POSSIBLE OUTBREAK,CASES,Total Cases,GRADE LEVELS,DAYS OF EXPOSURE,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Leila North
 (20 Allan Blye Drive)",SOSD,"November 12, 2020?",November 3,November 17,November 17,0,1,1,6-8,14,,,,,,,,,,,,,,,,,,
WINNIPEG,"St. John's High School
(401 Church Ave)",WSD,"October 24, 2020",October 15,October 29,November 17,1,1,13,7-12,33,,,,,,,,,,,,,,,,,,
WINNIPEG,"Grant Park High School 
 (450 Nathanial St)",WSD,"October 23, 2020","October 13, 2020","October 27, 2020",November 18,1,1,4,7-12,36,,,,,,,,,,,,,,,,,,
WINNIPEG,"Sargent Park School 
(2 Sargent Park Place)",WSD,"October 19, 2020","October 13, 2020",November 18,November 18,1,1,5,K-9,36,,,,,,,,,,,,,,,,,,
WINNIPEG,"Maples Collegiate
(1330 Jefferson Ave)",SOSD,"October 20, 2020","October 14, 2020","October 28, 2020","November 20, 2020",1,1,6,9-12,37,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Constable Edward Finney School
(25 Anglia Avenue)",SOSD,"November 12, 2020","November 6, 2020","November 20, 2020","November 20, 2020",1,2,2,K-5,14,,,,,,,,,,,,,,,,,,
WINNIPEG,"Mennonite Brethren Collegiate Institute
 (173 Talbot Ave)",INDEPENDENT,"November 3, 2020","October 28, 2020","November 11, 2020","November 25, 2020",0,1,1,6-12,28,,,,,,,,,,,,,,,,,,
WINNIPEG,"John Pritchard School 
 (1490 Henderson Hwy.)",RETSD,"September 13, 2020",September 8,September 22,,1,1,28,K-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
